namespace,key,en,original_zh,current_zh,reason,reason_en
guild,trade.creditAdjust.amountPlaceholder,e.g. 25 or -10,例如 25 或 -10,例如25或-10,多余空格修复：中文与拉丁文/数字之间不加空格,Spacing fix: no space between Chinese and Latin/digits
guild,trade.creditSettings.description,α and β set the per-unit credit rate suppliers earn on chains the guild closes. <1>extract ×</1> is the buffer on chain-priced extractor / fertility recipes. Changes only affect chains created after the change.,α和β决定供应方在公会关闭的生产链上每单位可获得的积分费率。<1>开采 ×</1>是链定价的开采 / 肥沃度类配方的缓冲系数。更改仅影响此后创建的生产链。,α和β决定供应方在公会关闭的生产链上每单位可获得的积分费率。<1>开采 ×</1>是链定价的开采/肥沃度类配方的缓冲系数。更改仅影响此后创建的生产链。,翻译优化,Translation improvement
guild,trade.creditSettings.alpha.tooltip,"Credits per burden-unit of effort, per unit produced.",每生产一单位产品，每单位Burden投入所获得的积分。,每生产一单位产品，每单位负担投入所获得的积分。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
guild,trade.creditSettings.extract.tooltip,Multiplier on the burden term of chain-pricing for extractor / fertility recipes.,链定价中开采 / 肥沃度类配方Burden项的倍率。,链定价中开采/肥沃度类配方负担项的倍率。,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
leaderboard,columns.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
leaderboard,columnOptions.guild.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.guild.projectHq,HQ,HQ,总部,公会项目翻译,Guild project translated
leaderboard,columnOptions.guild.projectAdmin,Administration,Administration,行政中心,公会项目翻译,Guild project translated
leaderboard,columnOptions.guild.projectFlight,Flight Center,Flight Center,飞行中心,公会项目翻译,Guild project translated
leaderboard,columnOptions.guild.projectWarehouse,Warehouse,Warehouse,仓库,公会项目翻译,Guild project translated
leaderboard,columnOptions.guild.projectArcade,Arcade,Arcade,娱乐中心,公会项目翻译,Guild project translated
leaderboard,columnOptions.guild.memberPrestigeSum,Member Prestige Sum,成员Prestige总计,成员声望总计,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.guild.prestigeGain24h,Prestige % (1d),Prestige %（1天）,声望%（1天）,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.guild.valueGain24h,Value % (1d),价值 %（1天）,价值%（1天）,中文与%之间多余空格,Unnecessary space between Chinese and %
leaderboard,columnOptions.guild.prestigeGain7d,Prestige % (7d),Prestige %（7天）,声望%（7天）,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.guild.valueGain7d,Value % (7d),价值 %（7天）,价值%（7天）,中文与%之间多余空格,Unnecessary space between Chinese and %
leaderboard,columnOptions.company.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.company.prestigeGain24h,Prestige % (1d),Prestige %（1天）,声望%（1天）,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.company.valueGain24h,Value % (1d),价值 %（1天）,价值%（1天）,中文与%之间多余空格,Unnecessary space between Chinese and %
leaderboard,columnOptions.company.prestigeGain7d,Prestige % (7d),Prestige %（7天）,声望%（7天）,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,columnOptions.company.valueGain7d,Value % (7d),价值 %（7天）,价值%（7天）,中文与%之间多余空格,Unnecessary space between Chinese and %
leaderboard,headers.guildPrestige,Guild Prestige,公会Prestige,公会声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,headers.hq,HQ,HQ,总部,公会项目翻译,Guild project translated
leaderboard,headers.admin,Admin,Admin,行政,公会项目翻译,Guild project translated
leaderboard,headers.flight,Flight,Flight,飞行,公会项目翻译,Guild project translated
leaderboard,headers.warehouse,Wareh.,Wareh.,仓库,公会项目翻译,Guild project translated
leaderboard,headers.arcade,Arcade,Arcade,娱乐中心,公会项目翻译,Guild project translated
leaderboard,headers.memberPrestige,Member Prestige,成员Prestige,成员声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,headers.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
leaderboard,headers.avgDaily,Avg Daily %,日均 %,日均%,翻译优化,Translation improvement
leaderboard,eventFilters.guild.hqUpgraded,HQ upgraded,HQ升级,总部升级,公会项目翻译,Guild project translated
leaderboard,eventFilters.guild.adminUpgraded,Administration upgraded,Administration升级,行政中心升级,公会项目翻译,Guild project translated
leaderboard,eventFilters.guild.flightUpgraded,Flight Center upgraded,Flight Center升级,飞行中心升级,公会项目翻译,Guild project translated
leaderboard,eventFilters.guild.warehouseUpgraded,Warehouse upgraded,Warehouse升级,仓库升级,公会项目翻译,Guild project translated
leaderboard,eventFilters.guild.arcadeUpgraded,Arcade upgraded,Arcade升级,娱乐中心升级,公会项目翻译,Guild project translated
market,page.exchangeColumns.playerQty,Player Qty,玩家数量,玩家挂单数,翻译优化,Translation improvement
market,page.exchangeColumns.soldPerHour,Sold / Hr,售出 / 小时,每小时售出,翻译优化,Translation improvement
market,page.exchangeColumns.priceChangePct,Price %,价格 %,价格%,翻译优化,Translation improvement
market,page.columnOptions.soldPerHour,Sold / Hr,售出 / 小时,每小时售出,翻译优化,Translation improvement
market,page.columnOptions.priceChangePct,Price %,价格 %,价格%,翻译优化,Translation improvement
market,page.exportColumns.playerListed,Player Qty,玩家数量,玩家挂单数,翻译优化,Translation improvement
market,page.exportColumns.soldPerHour,Sold / Hr,售出 / 小时,每小时售出,翻译优化,Translation improvement
market,page.exportColumns.priceChangePct,Price %,价格 %,价格%,翻译优化,Translation improvement
market,page.stats.avgSnapshotsPerDay,Avg snapshots / day,平均快照数 / 天,日均快照数,翻译优化,Translation improvement
market,page.tradeVolume.estimatedNote,"Estimated daily trade value (units sold x best price), stacked by building tier.",每日交易额估算（售出单位数×最优价格），按建筑Tier堆叠。,每日交易额估算（售出单位数×最优价格），按建筑等阶堆叠。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
market,page.tags.tooltips.wall,"Price wall - one company dominates the best price, capping what others can sell at",价格墙 - 一家公司主导最优价格，压低了其他公司的可售价格,价格墙 - 一家公司主导最优价格，限制了其他公司的可售价格,翻译优化,Translation improvement
market,page.analysis.columns.profitAtAvgTitle,Profit/h at average trade price,按平均成交价计算的利润/h,按平均成交价计算的每小时利润,翻译优化,Translation improvement
market,page.analysis.columns.profitAtCurrentTitle,Profit/h at current best price,按当前最优价格计算的利润/h,按当前最优价格计算的每小时利润,翻译优化,Translation improvement
market,page.analysis.columns.tierNormProfitAtAvgTitle,Tier-normalized profit/h at avg trade price (profit ÷ building tier),按平均成交价计算的Tier归一化利润/h（利润÷建筑Tier）,按平均成交价计算的每小时等阶归一化利润（利润÷建筑等阶）,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
market,page.analysis.columns.tierNormProfitAtCurrentTitle,Tier-normalized profit/h at current best price (profit ÷ building tier),按当前最优价格计算的Tier归一化利润/h（利润÷建筑Tier）,按当前最优价格计算的每小时等阶归一化利润（利润÷建筑等阶）,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
market,materialDetail.stat.minMax,Min / Max,最低 / 最高,最低/最高,斜杠空格移除,Slash space removal
market,materialDetail.stat.soldPerHour,Sold / hr,售出 / 小时,每小时售出,翻译优化,Translation improvement
market,materialDetail.activity.column.guildCompany,Guild / Company,公会 / 公司,公会/公司,斜杠空格移除,Slash space removal
market,materialDetail.activity.column.salesPct,Sales %,销量 %,销量%,翻译优化,Translation improvement
market,materialDetail.pattern.error,Failed to load activity pattern.,活跃规律加载失败。,活动规律加载失败。,翻译优化,Translation improvement
market,materialDetail.axis.listedSold,Listed / Sold,挂单 / 已售,挂单/已售,斜杠空格移除,Slash space removal
overview,page.features.items.research.desc,"Estimate research costs, plan perk point allocation and compare priorities across different specs.",估算研究成本，规划Perk点数分配，并比较不同Spec之间的优先级。,估算研究成本，规划专长点数分配，并比较不同Spec之间的优先级。,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
overview,page.features.items.leaderboard.desc,"Browse guild and company rankings, compare stats and follow global event activity.",浏览公会与公司排名，比较数据，并关注全局事件动态。,浏览公会与公司排名，比较数据，并关注全局事件动态。,翻译优化,Translation improvement
overview,quickLinks.globalEvents,Global events,全局事件,全局事件,翻译优化,Translation improvement
prestige,perks.groupLabel.exclusive,Exclusive Perk,Exclusive Perk,互斥专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
prestige,perks.groupLabel.supervision,Supervision,Supervision,监管,翻译优化,Translation improvement
production,consumables.dataUnavailable,Consumable data is unavailable for this tier.,此Tier的消耗品数据不可用。,此等阶的消耗品数据不可用。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
production,overhead.previewOverheadLabel,Preview overhead,预览Overhead,预览开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
production,overhead.totalWorkforceBurden,Total workforce / burden,总劳动力 / Burden,总劳动力/负担,Burden→负担,Burden→负担
production,overhead.expansionOverhead,Expansion overhead,扩建Overhead,扩建开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
production,overhead.perDay,/ day,/ 天,/天,斜杠与中文之间多余空格,Unnecessary space between slash / and Chinese 天
profitability,recipes.productivity.productionSpeedPerks,Production speed perks,生产速度Perk,生产速度专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
profitability,recipes.productivity.specialPerkMultiplier,Special perk multiplier,特殊Perk倍率,特殊专长倍率,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
profitability,materialSources.row.customTitle,"Custom pick, overrides Best / Best (base)",自定义选择，覆盖最佳 / 最佳（基地）,自定义选择，覆盖最佳/最佳（基地）,斜杠空格移除,Slash space removal
profitability,materialSources.contextMenu.highestAtTier,Highest at tier…,Tier中最高…,等阶中最高…,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,materialSources.contextMenu.tier,Tier {{tier}},Tier {{tier}},等阶{{tier}},Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,materialSources.contextMenu.noPlanetAtAnyTier,No planet has this material at any tier.,任何Tier下都没有行星拥有此材料。,任何等阶下都没有行星拥有此材料。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,materialSources.other.planetTier,Planet tier,行星Tier,行星等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,materialSources.other.globalOverheadImpact,Global overhead impact,全局Overhead影响,全局开销影响,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,materialSources.other.globalOverheadHelpLabel,What is global overhead impact?,什么是全局Overhead影响？,什么是全局开销影响？,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,materialSources.other.globalOverheadHelp.p1,"Every worker you employ raises your company's overhead, which makes every worker across all your bases consume slightly more consumables. So a new production building doesn't just cost its own workers' supplies. It also nudges up the consumables every other building needs.",每雇佣一名工人都会提高公司的Overhead，使所有基地中的每名工人多消耗一些消耗品。因此，新建一座生产建筑不仅要承担其自身工人的补给成本，还会推高其他所有建筑所需的消耗品。,每雇佣一名工人都会提高公司的开销，使所有基地中的每名工人多消耗一些消耗品。因此，新建一座生产建筑不仅要承担其自身工人的补给成本，还会推高其他所有建筑所需的消耗品。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,materialSources.other.vacationHelp.p1,Controls how bases flagged as on vacation in-game feed into the overhead burden. It is independent of the base page's own vacation toggle.,控制在游戏中标记为休假的基地如何计入Overhead burden。此设置独立于基地页面自身的休假开关。,控制在游戏中标记为休假的基地如何计入开销负担。此设置独立于基地页面自身的休假开关。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,materialSources.other.vacationHelp.liveBody,"respects the in-game flag, so vacationing bases drop out of the overhead burden.",遵循游戏内的标记，休假中的基地会从Overhead burden中剔除。,遵循游戏内的标记，休假中的基地会从开销负担中剔除。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,filters.rows.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,filters.rows.targetProfit,Target profit / h,目标利润 / h,每小时目标利润,单位统一,Unit normalization
profitability,filters.rows.targetPerBurden,Target / 100 burden,目标 / 100 burden,目标/100负担,Burden→负担,Burden→负担
profitability,filters.sort.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
profitability,filters.displayMode.profit,Profit / h,利润 / h,每小时利润,单位统一,Unit normalization
profitability,filters.displayMode.profitTotal,Total profit / h,总利润 / h,每小时总利润,单位统一,Unit normalization
profitability,filters.displayMode.inputCost,Input cost / h,输入成本 / h,每小时输入成本,翻译优化,Translation improvement
profitability,filters.displayMode.outputValue,Output value / h,产出价值 / h,每小时产出价值,翻译优化,Translation improvement
profitability,filters.displayMode.consumableCost,Consumable cost / h,消耗品成本 / h,每小时消耗品成本,翻译优化,Translation improvement
profitability,filters.displayMode.profitPerBurden,Profit / h / 100 burden,利润 / h / 100 burden,利润/小时/100负担,Burden→负担,Burden→负担
profitability,filters.displayMode.profitPerWeightChange,Profit / weight change,利润 / 重量变化,每重量变化利润,翻译优化,Translation improvement
profitability,filters.displayMode.profitPerTotalWeight,Profit / total weight,利润 / 总重量,每总重量利润,翻译优化,Translation improvement
profitability,filters.displayMode.profitPerMaxLegWeight,Profit / max leg weight,利润 / 最大航段重量,每最大航段重量利润,翻译优化,Translation improvement
profitability,filters.displayMode.targetPricePerBurden,Target price (per burden),目标价格（每burden）,目标价格（每负担）,Burden→负担：游戏机制名翻译为中文,Burden→负担: game mechanic translated to Chinese
profitability,filters.includedBases.buttonTitle,Choose which bases feed cross-base aggregations (overhead / workforce / etc.),选择哪些基地参与跨基地汇总（Overhead / 劳动力 / 等等）,选择哪些基地参与跨基地汇总（开销/劳动力/等等）,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,scenario.sections.perks,Perks,Perk,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
profitability,dataManagement.settings.sections.perks,Prestige Perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
profitability,dataManagement.share.options.overhead.onHint,Your workforce and admin center are baked in.,当前的劳动力和Admin Center已固化在链接中。,当前的劳动力和行政中心已内置在链接中。,Admin Center→行政中心；固化→内置,Admin Center→行政中心; 固化→内置
profitability,dataManagement.share.options.perks.offHint,NULL,使用接收者自己的Perk。,使用接收者自己的专长。,NULL,NULL
profitability,dataManagement.share.options.overhead.offHint,The receiver's own overhead is used.,使用接收者自己的Overhead。,使用接收者自己的开销。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
profitability,dataManagement.share.options.general.onHint,"Building level, condition, workforce % and planet tier travel along.",建筑等级、状况、劳动力%和行星Tier会一并传递。,建筑等级、状况、劳动力%和行星等阶会一并传递。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
research,page.toggle.perks,Perks,Perks,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,page.nav.title,Research & Perks,研究与Perks,研究与专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,page.nav.prestigePerks,Prestige Perks,Prestige Perks,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.panelTitle,Prestige Perks,Prestige Perks,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.points.available,Available Perk Points,可用Perk点数,可用专长点数,Perk→专长，英文原文无Prestige,Perk→专长; English source has no Prestige
research,perks.points.next,Next Perk Point,下一个Perk点数,下一个专长点数,Perk→专长，英文原文无Prestige,Perk→专长; English source has no Prestige
research,perks.overview.title,Perk Overview,Perk概览,专长概览,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.overview.otherPerks,Other Perks,其他Perks,其他专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.perk,Perk,Perk,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.costTitle,Perk points needed for next level,升至下一等级所需的Perk点数,升至下一等级所需的专长点数,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.valuePerDay,Value/day,价值/天,每日价值,翻译优化,Translation improvement
research,perks.columns.valuePerDayTitle,Daily monetary value of the current perk level,当前Perk等级的每日货币价值,当前专长等级的每日货币价值,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.valuePerPoint,Value/pt,价值/点,每点价值,翻译优化,Translation improvement
research,perks.columns.valuePerPointTitle,Current daily value per total perk point invested,已投入的每个Perk点数带来的当前每日价值,已投入的每个专长点数带来的当前每日价值,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.nextPerPointTitle,NULL,NULL,NULL,NULL,NULL
research,perks.columns.nextPerPointTitle,Daily monetary gain per perk point spent on next level,下一等级每投入一个Perk点数带来的每日货币收益,下一等级每投入一个专长点数带来的每日货币收益,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.savedTitle,One-time construction cost saved by this perk,此Perk节省的一次性建造成本,此专长节省的一次性建造成本,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.savedPerPoint,Saved/pt,节省/点,每点节省,翻译优化,Translation improvement
research,perks.columns.savedPerPointTitle,Current savings per total perk point invested,已投入的每个Perk点数带来的当前节省,已投入的每个专长点数带来的当前节省,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.columns.savedNextPerPointTitle,Marginal savings per perk point for next level,下一等级每个Perk点数带来的边际节省,下一等级每个专长点数带来的边际节省,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,perks.tier.locked,Tier {{tier}} locked ({{spent}}/{{required}} pts in lower tiers),Tier {{tier}}已锁定（低Tier已投入{{spent}}/{{required}}点）,等阶{{tier}}已锁定（低等阶已投入{{spent}}/{{required}}点）,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
research,perks.consolidated.prodSpeedSuffix,% prod. speed,% 生产速度,%生产速度,翻译优化,Translation improvement
research,perks.consolidated.nextHqUpgrade,Next HQ upgrade,下次HQ升级,下次总部升级,公会项目翻译,Guild project translated
research,perks.debug.outputPerDay,Output/d:,产出/d：,每日产出：,翻译优化,Translation improvement
research,perks.debug.inputPerDay,Input/d:,输入/d：,每日输入：,翻译优化,Translation improvement
research,perks.debug.consumablePerDay,Consumable/d:,消耗品/d：,每日消耗品：,翻译优化,Translation improvement
research,perks.debug.maintenancePerDay,Maintenance/d:,维护/d：,每日维护：,翻译优化,Translation improvement
research,perks.debug.netProfitPerDay,Net Profit/d:,净利润/d：,每日净利润：,翻译优化,Translation improvement
research,flightRoutes.empty,No routes defined. Add routes to calculate logistics perk values.,尚未定义航线。添加航线以计算物流Perk价值。,尚未定义航线。添加航线以计算物流专长价值。,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,flightRoutes.debug.fuelCostPerDay,Fuel cost/day:,燃料成本/天：,每日燃料成本：,翻译优化,Translation improvement
research,flightRoutes.debug.repairCostPerDay,Repair cost/day:,维修成本/天：,每日维修成本：,翻译优化,Translation improvement
research,flightRoutes.transport.grossPerDay,Gross/d,总/d,每日总额,翻译优化,Translation improvement
research,flightRoutes.transport.netPerDay,Net/d,净/d,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
research,activeBonuses.panelTitle,Company Perks,公司Perks,公司专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
research,activeBonuses.perDaySuffix,/d,/d,/天,单位统一,Unit normalization
research,activeBonuses.perkPoints,Perk Points,Perk点数,专长点数,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
settings,sharing.groups.company.prestigePerks,Prestige perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
settings,sharing.groups.company.perkImpact,Perk impact,Perk影响,专长影响,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
settings,sharing.groups.bases.basesOverheadSummary,Workforce overhead,劳动力Overhead,劳动力开销,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
settings,sharing.groups.bases.basesOverheadSummarySuffix,consumables totals + admin center level only; used by guild Admin Center ROI,仅包含消耗品总计和Admin Center等级；用于公会Admin Center的ROI,仅包含消耗品总计和行政中心等级；用于公会行政中心的ROI,翻译优化,Translation improvement
settings,sharing.groups.productionChains.guildChainsSuffix,"lets your guild use your research, perks & workforce to price your chain signups fairly; defaults to Guild",让公会能够依据研究、Perk和劳动力，为生产链报名公平定价；默认为公会,让公会能够依据研究、专长和劳动力，为生产链报名公平定价；默认为公会,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
settings,general.statTiles.description,"Toggle the rank, prestige and company value tiles.",切换排名、Prestige和公司价值卡片。,切换排名、声望和公司价值卡片。,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
settings,productionSettings.syncDescription,"When enabled, research overrides and overhead previews stay in sync between Base and Profitability.",启用后，研究覆盖和Overhead预览会在基地与盈利分析之间保持同步。,启用后，研究覆盖和开销预览会在基地与盈利分析之间保持同步。,Overhead→开销：游戏机制名翻译为中文,Overhead→开销: game mechanic translated to Chinese
settings,baseSettings.starterPlanning.label,Starter base planning,新手基地规划,初始基地规划,翻译优化,Translation improvement
settings,baseSettings.starterPlanning.toggle,Show starter base option when planning a new base,规划新基地时显示新手基地选项,规划新基地时显示初始基地选项,翻译优化,Translation improvement
settings,baseSettings.starterPlanning.description,"Adds a control in the Warnings & info panel to simulate construction costs as a starter base (12 free terraform slots, 3 star slots).",在“警告与信息”面板中添加一个控件，用于按新手基地（12个免费地形改造槽位，3个星级槽位）模拟建造成本。,在“警告与信息”面板中添加一个控件，用于按初始基地（12个免费地形改造槽位，3个星币槽位）模拟建造成本。,翻译优化,Translation improvement
ships,controls.bestCheapest,Best / cheapest,最佳 / 最便宜,最佳/最便宜,斜杠空格移除,Slash space removal
ships,modal.costPerTonOutbound,Cost / ton (outbound),成本 / 吨（去程）,每吨成本（去程）,翻译优化,Translation improvement
ships,modal.costPerTonReturn,Cost / ton (return),成本 / 吨（回程）,每吨成本（回程）,翻译优化,Translation improvement
ships,materialsCalc.sections.hullPlates,Hull plates,Hull Plates,船体板,翻译优化,Translation improvement
ships,materialsCalc.sections.bridges,Bridges,Bridges,舰桥,翻译优化,Translation improvement
ships,materialsCalc.notes.required.hullPlate,One hull plate type.,一种Hull Plate类型。,一种船体板类型。,翻译优化,Translation improvement
ships,materialsCalc.notes.required.bridge,One bridge type.,一种Bridge类型。,一种舰桥类型。,翻译优化,Translation improvement
ships,results.costPerTon,Cost / ton,成本 / 吨,每吨成本,翻译优化,Translation improvement
ships,travelEstimates.columns.fuelPercent,Fuel %,燃料 %,燃料%,翻译优化,Translation improvement
ships,speedBreakdown.perks,Perks (multiplicative),Perk（乘算）,专长（乘算）,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
ships,perkSavings.withoutPerk,Without perk,无Perk,无专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
ships,bonuses.prestigePerks,Prestige Perks,Prestige Perk,声望专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
ships,search.params.maxHullType,Max Hull type,最高Hull类型,最高船体类型,翻译优化,Translation improvement
ships,search.params.maxBridgeType,Max bridge type,最高Bridge类型,最高舰桥类型,翻译优化,Translation improvement
ships,search.filters.anyHull,Any hull,任意Hull,任意船体,翻译优化,Translation improvement
ships,search.filters.anyBridge,Any bridge,任意Bridge,任意舰桥,翻译优化,Translation improvement
ships,search.hullWarning.starglass,"This configuration requires Starglass hull plates, increasing construction cost.",此配置需要Starglass Hull Plates，会增加建造成本。,此配置需要[Starglass Hull Plate]，会增加建造成本。,翻译优化,Translation improvement
ships,search.hullWarning.general,Shielding upgrades increase the required hull tier compared to the base design.,相比基础设计，屏蔽升级会提高所需的Hull Tier。,相比基础设计，屏蔽升级会提高所需的船体等阶。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
ships,search.diagnose.hullFallback,selected hull tier,所选Hull Tier,所选船体等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
ships,search.diagnose.reactorFallback,selected reactor tier,所选反应堆Tier,所选反应堆等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
ships,search.diagnose.bridgeFallback,selected bridge tier,所选Bridge Tier,所选舰桥等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
ships,search.diagnose.hull,{{hull}} cannot support {{cargo}}t for this route. Choose a sturdier hull or lower the cargo requirement.,{{hull}}无法在此航线上承载{{cargo}}t。选择更坚固的Hull或降低货物需求。,{{hull}}无法在此航线上承载{{cargo}}t。选择更坚固的船体或降低货物需求。,翻译优化,Translation improvement
ships,search.diagnose.reactor,{{reactor}} does not generate enough power for the requested trip. Permit higher-tier reactors.,{{reactor}}无法为所需行程提供足够的功率。允许更高Tier的反应堆。,{{reactor}}无法为所需行程提供足够的功率。请使用更高等阶的反应堆。,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
tracker,company.tabs.perks,Perks,Perks,专长,Perk→专长：游戏机制名统一翻译,Perk→专长: game mechanic name unified translation
tracker,company.columns.usedPerDay,Used/day,消耗/天,每日消耗,翻译优化,Translation improvement
tracker,company.columns.producedPerDay,Produced/day,产出/天,每日产出,翻译优化,Translation improvement
tracker,company.columns.weightPerDay,Weight/day,重量/天,每日重量,翻译优化,Translation improvement
tracker,company.columns.netPerDay,Net/day,净/天,每日净额,单个净字在中文中表示干净的意思居多，换成净额使其含义更明确,Standalone 净 often means clean in Chinese; 净额 makes the financial meaning clearer
tracker,company.columns.valuePerDay,Value/day,价值/天,每日价值,翻译优化,Translation improvement
tracker,company.columns.qtyEa,Qty / ea,数量 / 单次,每单数量,翻译优化,Translation improvement
tracker,company.columns.qtyDay,Qty / day,数量 / 天,每日数量,翻译优化,Translation improvement
tracker,company.columns.totalDay,Total / day,合计 / 天,每日合计,翻译优化,Translation improvement
tracker,company.columns.tier,Tier,Tier,等阶,Tier→等阶：游戏等级术语统一翻译,Tier→等阶: game tier term unified translation
tracker,company.columns.perk,NULL,Perk,专长,NULL,NULL
tracker,company.columns.perk,NULL,Perk,专长,NULL,NULL
tracker,company.overview.stat.prestige,Prestige,Prestige,声望,Prestige→声望：游戏机制名统一翻译,Prestige→声望: game mechanic name unified translation
